record_id,theme_rank,theme_label,theme_source,theme_origin,theme_score,keywords_available,source_dataset,source_sheet,title,canonical_id,label_canonica,methodology_label,methodology_subtype
seed:Clasificados:2,1,scientific,tfidf,title_abstract_tfidf,0.44468211193587065,False,seed,Clasificados,Scientific writing as a social act: A review of the literature of the sociology of science,tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,no_empirico,
seed:Clasificados:2,2,community,tfidf,title_abstract_tfidf,0.33116571967419606,False,seed,Clasificados,Scientific writing as a social act: A review of the literature of the sociology of science,tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,no_empirico,
seed:Clasificados:2,3,sociology science,tfidf,title_abstract_tfidf,0.2841198871503739,False,seed,Clasificados,Scientific writing as a social act: A review of the literature of the sociology of science,tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,no_empirico,
seed:Clasificados:3,1,challenges,tfidf,title_abstract_tfidf,0.3641683159302436,False,seed,Clasificados,"Benefits, motivations, and challenges of international collaborative research: A sociology of science case study",tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,empirico,cualitativo
seed:Clasificados:3,2,case study,tfidf,title_abstract_tfidf,0.27935471936476414,False,seed,Clasificados,"Benefits, motivations, and challenges of international collaborative research: A sociology of science case study",tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,empirico,cualitativo
seed:Clasificados:3,3,projects,tfidf,title_abstract_tfidf,0.270293393136408,False,seed,Clasificados,"Benefits, motivations, and challenges of international collaborative research: A sociology of science case study",tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,empirico,cualitativo
seed:Clasificados:4,1,science communication,tfidf,title_abstract_tfidf,0.5967424140155317,False,seed,Clasificados,Organisation matters: towards an organisational sociology of science communication,tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,no_empirico,
seed:Clasificados:4,2,organisational,tfidf,title_abstract_tfidf,0.49728534501294314,False,seed,Clasificados,Organisation matters: towards an organisational sociology of science communication,tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,no_empirico,
seed:Clasificados:4,3,communication,tfidf,title_abstract_tfidf,0.4178748858333234,False,seed,Clasificados,Organisation matters: towards an organisational sociology of science communication,tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,no_empirico,
seed:Clasificados:5,1,education,tfidf,title_abstract_tfidf,0.3569703037805749,False,seed,Clasificados,"Science education in the era of a pandemic: How can history, philosophy and sociology of science contribute to education for understanding and solving the Covid-19 …",tipo_4_pragmatismo_epistemologico,Tipo 4 - Pragmatismo epistemologico,NN,
seed:Clasificados:5,2,pandemic,tfidf,title_abstract_tfidf,0.34277438890784784,False,seed,Clasificados,"Science education in the era of a pandemic: How can history, philosophy and sociology of science contribute to education for understanding and solving the Covid-19 …",tipo_4_pragmatismo_epistemologico,Tipo 4 - Pragmatismo epistemologico,NN,
seed:Clasificados:5,3,science education,tfidf,title_abstract_tfidf,0.2920484153547748,False,seed,Clasificados,"Science education in the era of a pandemic: How can history, philosophy and sociology of science contribute to education for understanding and solving the Covid-19 …",tipo_4_pragmatismo_epistemologico,Tipo 4 - Pragmatismo epistemologico,NN,
seed:Clasificados:6,1,daily,tfidf,title_abstract_tfidf,0.5783988282549246,False,seed,Clasificados,"On methods, ontologies, and representation in the sociology of science: Where do we stand?",tipo_2_realismo_moderado_critico,Tipo 2 - Realismo moderado / critico,NN,
seed:Clasificados:6,2,beliefs,tfidf,title_abstract_tfidf,0.31283677682186706,False,seed,Clasificados,"On methods, ontologies, and representation in the sociology of science: Where do we stand?",tipo_2_realismo_moderado_critico,Tipo 2 - Realismo moderado / critico,NN,
seed:Clasificados:6,3,religious,tfidf,title_abstract_tfidf,0.31283677682186706,False,seed,Clasificados,"On methods, ontologies, and representation in the sociology of science: Where do we stand?",tipo_2_realismo_moderado_critico,Tipo 2 - Realismo moderado / critico,NN,
seed:Clasificados:7,1,content,tfidf,title_abstract_tfidf,0.4070704429083253,False,seed,Clasificados,How can governance change research content? Linking science policy studies to the sociology of science,tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,,
seed:Clasificados:7,2,governance,tfidf,title_abstract_tfidf,0.35059757356258026,False,seed,Clasificados,How can governance change research content? Linking science policy studies to the sociology of science,tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,,
seed:Clasificados:7,3,funding,tfidf,title_abstract_tfidf,0.2804780588500642,False,seed,Clasificados,How can governance change research content? Linking science policy studies to the sociology of science,tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,,
seed:Clasificados:9,1,crisis,tfidf,title_abstract_tfidf,0.5455898082866185,False,seed,Clasificados,Recoding liberalism: philosophy and sociology of science against planning,tipo_4_pragmatismo_epistemologico,Tipo 4 - Pragmatismo epistemologico,NN,
seed:Clasificados:9,2,policy,tfidf,title_abstract_tfidf,0.4423424154749244,False,seed,Clasificados,Recoding liberalism: philosophy and sociology of science against planning,tipo_4_pragmatismo_epistemologico,Tipo 4 - Pragmatismo epistemologico,NN,
seed:Clasificados:9,3,authors,tfidf,title_abstract_tfidf,0.26472827753919004,False,seed,Clasificados,Recoding liberalism: philosophy and sociology of science against planning,tipo_4_pragmatismo_epistemologico,Tipo 4 - Pragmatismo epistemologico,NN,
seed:Clasificados:10,1,covid 19,tfidf,title_abstract_tfidf,0.4503990884986223,False,seed,Clasificados,"Science education in the light of COVID-19: The contribution of history, philosophy and sociology of science",tipo_4_pragmatismo_epistemologico,Tipo 4 - Pragmatismo epistemologico,NN,
seed:Clasificados:10,2,covid,tfidf,title_abstract_tfidf,0.437080653239856,False,seed,Clasificados,"Science education in the light of COVID-19: The contribution of history, philosophy and sociology of science",tipo_4_pragmatismo_epistemologico,Tipo 4 - Pragmatismo epistemologico,NN,
seed:Clasificados:10,3,students,tfidf,title_abstract_tfidf,0.242952518244724,False,seed,Clasificados,"Science education in the light of COVID-19: The contribution of history, philosophy and sociology of science",tipo_4_pragmatismo_epistemologico,Tipo 4 - Pragmatismo epistemologico,NN,
seed:Clasificados:11,1,academic,tfidf,title_abstract_tfidf,0.5452001523695743,False,seed,Clasificados,"Academic Air Travel: Debates, Tensions and the Need for a Sociology of Science Perspective",tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,no_empirico,
seed:Clasificados:11,2,debates,tfidf,title_abstract_tfidf,0.27205311018577644,False,seed,Clasificados,"Academic Air Travel: Debates, Tensions and the Need for a Sociology of Science Perspective",tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,no_empirico,
seed:Clasificados:11,3,suggests,tfidf,title_abstract_tfidf,0.25372770257266286,False,seed,Clasificados,"Academic Air Travel: Debates, Tensions and the Need for a Sociology of Science Perspective",tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,no_empirico,
seed:Clasificados:12,1,history philosophy,tfidf,title_abstract_tfidf,0.36111748303507146,False,seed,Clasificados,"Meaning at the Planck scale? Contextualized word embeddings for doing history, philosophy, and sociology of science",tipo_3_antirrealismo_epistemologico,Tipo 3 - Antirrealismo epistemologico,empirico,
seed:Clasificados:12,2,philosophy sociology,tfidf,title_abstract_tfidf,0.35254343017679557,False,seed,Clasificados,"Meaning at the Planck scale? Contextualized word embeddings for doing history, philosophy, and sociology of science",tipo_3_antirrealismo_epistemologico,Tipo 3 - Antirrealismo epistemologico,empirico,
seed:Clasificados:12,3,philosophy,tfidf,title_abstract_tfidf,0.2726348161683017,False,seed,Clasificados,"Meaning at the Planck scale? Contextualized word embeddings for doing history, philosophy, and sociology of science",tipo_3_antirrealismo_epistemologico,Tipo 3 - Antirrealismo epistemologico,empirico,
seed:Clasificados:13,1,sociology,tfidf,title_abstract_tfidf,0.49015053484680793,False,seed,Clasificados,Science Studies and Sociology,tipo_2_realismo_moderado_critico,Tipo 2 - Realismo moderado / critico,no_empirico,
seed:Clasificados:13,2,sts,tfidf,title_abstract_tfidf,0.42513898437298475,False,seed,Clasificados,Science Studies and Sociology,tipo_2_realismo_moderado_critico,Tipo 2 - Realismo moderado / critico,no_empirico,
seed:Clasificados:13,3,science studies,tfidf,title_abstract_tfidf,0.2216653233082915,False,seed,Clasificados,Science Studies and Sociology,tipo_2_realismo_moderado_critico,Tipo 2 - Realismo moderado / critico,no_empirico,
seed:Clasificados:14,1,constructivism,tfidf,title_abstract_tfidf,0.7544166646640172,False,seed,Clasificados,The sociology of science and social constructivism,tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,no_empirico,
seed:Clasificados:14,2,1990s,tfidf,title_abstract_tfidf,0.27560157033749155,False,seed,Clasificados,The sociology of science and social constructivism,tipo_5_constructivismo_moderado,Tipo 5 - Constructivismo moderado,no_empirico,
